epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5187,1.02779,2.3715,1.21773,0.82685,0.73879,0.82435,0.57312,1.03393,1.25928,1.3736,0.000415264,0.000415264,0.000415264
2,183.811,1.03292,1.36947,1.20608,0.87407,0.74812,0.85766,0.62084,0.94889,1.02339,1.28375,0.000815458,0.000815458,0.000815458
3,272.709,1.03965,1.12782,1.2109,0.80823,0.74737,0.82302,0.59028,0.98084,1.00138,1.29767,0.00119915,0.00119915,0.00119915
4,365.796,1.02242,0.9918,1.2003,0.88701,0.81979,0.89592,0.66482,0.94927,0.80891,1.26562,0.00117575,0.00117575,0.00117575
5,455.112,0.9899,0.89618,1.18352,0.84507,0.85903,0.90873,0.67405,0.91707,0.73742,1.2164,0.001151,0.001151,0.001151
6,543.286,0.97303,0.85553,1.17304,0.79024,0.7694,0.85206,0.64005,0.92705,0.95088,1.22813,0.00112625,0.00112625,0.00112625
7,632.196,0.95506,0.81946,1.15796,0.85096,0.80031,0.88953,0.6684,0.91,0.81333,1.21857,0.0011015,0.0011015,0.0011015
8,720.469,0.95616,0.78685,1.15922,0.91937,0.84176,0.91822,0.69274,0.91182,0.69211,1.21235,0.00107675,0.00107675,0.00107675
9,808.774,0.92865,0.74747,1.15084,0.90533,0.85393,0.92356,0.69014,0.90942,0.65905,1.22941,0.001052,0.001052,0.001052
10,897.096,0.92124,0.72755,1.14087,0.84667,0.84429,0.90981,0.68635,0.89833,0.70892,1.21504,0.00102725,0.00102725,0.00102725
11,985.926,0.89946,0.70845,1.12856,0.89188,0.89858,0.93302,0.71982,0.81351,0.61524,1.1536,0.0010025,0.0010025,0.0010025
12,1073.41,0.89214,0.6901,1.12195,0.93686,0.86227,0.93794,0.73134,0.85611,0.60245,1.17668,0.00097775,0.00097775,0.00097775
13,1161.91,0.87461,0.66247,1.11325,0.88056,0.90221,0.93437,0.71937,0.83456,0.58426,1.19347,0.000953,0.000953,0.000953
14,1250.78,0.87883,0.65956,1.11598,0.91463,0.90085,0.94904,0.74156,0.82753,0.56024,1.16149,0.00092825,0.00092825,0.00092825
15,1340.05,0.86824,0.63581,1.11207,0.93274,0.89828,0.94695,0.73852,0.82351,0.5258,1.16596,0.0009035,0.0009035,0.0009035
16,1429.21,0.869,0.63858,1.10465,0.92134,0.90843,0.94014,0.73249,0.84311,0.53354,1.18195,0.00087875,0.00087875,0.00087875
17,1518.74,0.84817,0.61898,1.10725,0.92507,0.92057,0.95618,0.74506,0.82771,0.50279,1.1859,0.000854,0.000854,0.000854
18,1607.57,0.85527,0.60709,1.10659,0.94315,0.91271,0.95511,0.74499,0.80654,0.50102,1.15454,0.00082925,0.00082925,0.00082925
19,1696.66,0.84324,0.59814,1.09868,0.91737,0.89375,0.94292,0.75107,0.81643,0.54641,1.14409,0.0008045,0.0008045,0.0008045
20,1785.34,0.83513,0.58517,1.09431,0.94416,0.91343,0.95434,0.75635,0.78768,0.48241,1.13785,0.00077975,0.00077975,0.00077975
